iteration,best_profit
2119,803
2134,1083
2147,1235
4613,1264
4671,1299
4724,1300
4947,1336
6716,1397
10083,1444
10146,1452
10528,1480
10621,1499
10643,1500
10810,1515
10838,1578
19337,1590
19353,1597
23841,1618
37321,1654
70913,1762
