iteration,best_profit
623,1668
625,1671
627,1762
632,2360
658,2803
731,3372
798,3902
912,4159
944,4511
974,5281
995,5850
1260,6607
2048,6697
2348,7107
2529,7679
3053,7889
3221,8070
3582,8196
3635,8407
3649,9404
3653,10045
5047,10055
5912,10218
6025,10675
30532,10878
