iteration,best_profit
300,1101
302,1462
307,2103
324,2522
330,3313
568,3909
591,3985
603,4442
688,4631
706,5229
1376,5562
1647,5923
1649,6649
1730,7373
2056,8168
2259,8309
2926,8511
3116,8692
8082,9049
